id,bishop_config,num_entries,bytes,num_win_pos,num_draw_pos,num_loss_pos,num_win_ix,num_draw_ix,num_loss_ix,num_broken_ix,fen,dtm,line
KBBBPK,B21v00,2655914000,442437377,2826449102,7914,0,1413224551,3957,0,602533255,8/2B3B1/8/8/4B3/4k3/4P3/4K3 w - - ,33,c7h2 e3e4 e1d2 e4f5 g7h6 f5e4 d2c3 e4f5 h2f4 f5e4 c3c4 e4f5 c4d5 f5g6 e2e4 g6h7 e4e5 h7g6 e5e6 g6f6 d5d6 f6f5 e6e7 f5e4 e7e8q e4d3 e8b5 d3c2 f4e5 c2d1 b5d3 d1e1 e5g3 
KBKRBN,B10v10,5882853420,2573114499,18800,2558375000,18313166328,2350,319797577,2289147441,288422272,8/8/8/8/8/8/n1K5/k1Brb3 w - - ,1,c1b2 
KBKRBN,B10v01,5882853420,2573114499,706632,3357302136,17942119520,88329,419662767,2242764940,322967744,8/8/8/8/8/8/b3r3/knK3B1 w - - ,5,g1d4 b1c3 d4c3 e2b2 c3b2 
KBKQBN,B10v10,5882853420,2001265961,13288,2428511788,18443035052,1661,303564299,2305381408,288422272,8/8/8/8/8/8/n1K5/k1B1bq2 w - - ,1,c1b2 
KBKQBN,B10v01,5882853420,2001265961,502856,3216385992,18083239440,62857,402048249,2260404930,322967744,8/8/8/8/8/8/b3q3/knK3B1 w - - ,5,g1d4 b1c3 d4c3 e2b2 c3b2 
KKQRBB,B00v20,3092692680,485868047,0,268888724,11628867196,0,33611571,1453618629,34594560,,,
KKQRBB,B00v11,3092692680,485868047,0,278233904,12003243856,0,34779238,1500405482,35683200,,,
KBKQRB,B10v10,5882853420,1931623509,0,34802548,20836757580,0,4350425,2604596943,288422272,,,
KBKQRB,B10v01,5882853420,1931623509,346920,38449256,21261332112,43365,4806157,2657666514,322967744,8/8/8/8/8/5q2/b3r3/k1K3B1 w - - ,5,g1d4 f3c3 d4c3 e2b2 c3b2 
KPKBBB,B00v30,2939087360,841158064,86573624,1312906460,30242,43286812,656453230,15121,0,1K6/P7/2k5/b7/1b6/8/8/b7 w - - ,113,a7a8q c6c5 a8a7 c5d6 a7a6 d6c5 a6c8 c5d5 c8g8 d5c5 g8f8 c5d5 f8f7 d5d6 f7g6 d6c5 g6h5 c5c4 h5f7 c4c5 b8c8 a1b2 f7f2 b2d4 f2c2 c5d6 c2g6 d6c5 c8d7 b4d2 g6c2 d4c3 c2a2 c3b4 a2b3 c5d4 d7c6 d2c1 b3a2 c1d2 a2d5 d4c3 c6b5 c3b2 b5a4 b2c3 d5e4 d2c1 e4c6 c3b2 c6b7 b2c3 b7g7 c3c4 g7g8 c4c3 g8h8 c3d3 h8f6 c1d2 a4b3 d2c3 f6f4 c3e1 f4c4 d3e3 c4d5 e1d2 b3c4 e3f4 d5h5 f4e4 h5e8 e4f5 c4d5 b4c3 e8f7 c3f6 f7h7 f5g5 h7e4 d2f4 d5e6 a5c7 e4f5 g5h4 e6d5 f4g5 f5d7 g5e3 d7c7 f6d4 c7f7 h4g4 d5e4 g4g5 f7f5 g5h6 e4d5 e3g5 d5d4 g5c1 d4e5 h6g7 f5f6 g7g8 f6g6 g8h8 e5f6 c1b2 f6f7 b2a1 g6h5 
